ID,Title,Rate,URL,Directors,Casts,Star,Cover,Cover_X,Cover_Y
26772680,穿行新西兰,8.3,https://movie.douban.com/subject/26772680/,"['窦骁', '郑刚']","['窦骁', '郑刚']",40,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2333903406.jpg,400,600
26933683,信长的忍者：信长与见习忍者,8.4,https://movie.douban.com/subject/26933683/,['大地丙太郎'],"['水濑祈', '羽多野涉', '山口胜平', '村濑步', '高桥智秋']",40,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454409911.jpg,400,556
26756222,我们唱着的歌,8.1,https://movie.douban.com/subject/26756222/,['邓宝翠'],[],40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326524847.jpg,681,960
26842000,一个近乎完美的村庄,7.7,https://movie.douban.com/subject/26842000/,['马西莫·高迪奥索'],"['法比奥·沃罗', '西尔维奥·奥兰多', '南多·鲍勒', '卡洛·布奇罗索', '米莱姆·里昂']",40,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2369090085.jpg,420,600
26720114,航迹云,7.5,https://movie.douban.com/subject/26720114/,['佐野達也'],"['广濑爱丽丝', '三吉彩花', '间宫祥太朗', '堀部圭亮', '北浦爱']",40,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323151545.jpg,566,798
26351532,暗色天堂,6.3,https://movie.douban.com/subject/26351532/,['袁剑伟'],"['张学友', '林嘉欣', '泰臣', '卓韵芝', '罗兰']",30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2315283113.jpg,682,960
26721063,性与犯罪,6.1,https://movie.douban.com/subject/26721063/,['Paul Florian Müller'],"['沃坦·维尔克·默林', '法比安·布施', '菲琳·罗根', '奥列佛·斯托科斯基', '尼古拉·威尔']",30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326837394.jpg,1357,1920
26754840,索多玛120天的幕后事,5.8,https://movie.douban.com/subject/26754840/,['David Grieco'],['Massimo Ranieri'],30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326227892.jpg,632,903
26756987,三打三捷,4.7,https://movie.douban.com/subject/26756987/,"['鹿峰', '史卫强']","['任明生', '李庆祥', '韦玮', '刘芳毓', '李丞峰']",25,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326703107.jpg,533,760
26681567,女人的战争之我是陶器,4.0,https://movie.douban.com/subject/26681567/,['宋昌洙'],"['노수람', '최무성', '최성희', '김태한']",20,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434803675.jpg,2000,2857
26734800,安藤忠雄：武士建筑师,8.0,https://movie.douban.com/subject/26734800/,['水野重理'],[],40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2354085247.jpg,424,600
26671519,罗塞莉·布朗,7.9,https://movie.douban.com/subject/26671519/,['Julien Rappeneau'],"['诺埃米·洛夫斯基', '爱丽丝·伊萨', '凯恩·科贾迪', '雅尼莫尼']",40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2334921248.jpg,658,896
26696543,我的生命,7.4,https://movie.douban.com/subject/26696543/,['国本雅广'],"['北村一辉', '木村佳乃', '横山步', '木南晴夏', '北川弘美']",35,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2320524129.jpg,440,622
26846989,营生,7.3,https://movie.douban.com/subject/26846989/,['贾樟柯'],"['韩三明', '梁景东', '原文倩', '贾樟柯']",35,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517216115.jpg,1920,1080
26657282,乡村医生,7.1,https://movie.douban.com/subject/26657282/,['托马斯·利蒂'],"['弗朗索瓦·克鲁塞', '玛丽安娜·德尼库尔']",35,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2319661312.jpg,2944,4000
26735027,美好合一2016,6.8,https://movie.douban.com/subject/26735027/,"['贾樟柯', '苏有朋', '中田秀夫', '关锦鹏']","['香川京子', '大后寿寿花', '叶童']",35,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322098123.jpg,620,930
26606686,夏洛特 特别篇（第14话）,6.4,https://movie.douban.com/subject/26606686/,['浅井義之'],"['内山昂辉', '佐仓绫音', '内田真礼', '水岛大宙', '麻仓桃']",30,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2327713177.jpg,1121,1500
26353873,守门员,6.4,https://movie.douban.com/subject/26353873/,['吉咏姆·贤内兹'],"['卡西·莫泰·克莱恩', '萨姆·卢维克', '加拉泰亚·贝露琪', 'Corentin Lobet']",30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323039061.jpg,2362,3213
26747032,代号8,7.6,https://movie.douban.com/subject/26747032/,['Jeff Chan'],"['斯蒂芬·阿梅尔', '姜成镐', '罗比·阿美尔', '查德·多纳拉', '阿隆·艾布拉姆斯']",40,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2431629364.jpg,637,931
