ID,Name,Rating,1stWk Box,Total Box
1203620,摇摇晃晃的人间,8.7,暂无,177
1218321,擒贼先擒王,,12,13
1196183,翻滚吧姐妹,,7,13
1198943,明天有多远,,2,12
1213016,天使的声音,,2,12
1167104,儿大女大,,暂无,55
367767,十七后 与青春化敌为友,,6,11
1208145,笔仙咒怨,4.9,286,581
1220909,寻找雪山,,4,11
344399,凤凰花开,,,
1210930,梭哈人生,,5,11
1206145,格桑花开的时候,,71,10
345011,建军大业,9.1,45,20292
345593,三伏天,,2,10
342286,根据地,,32,暂无
1220095,时间暗局,,8,10
1221087,疯狂的麻将,,8,10
1205694,神谕通天,,5,10
408969,皇甫谧传奇,,,
1218424,二师兄来了,,2,9
1208644,金珠玛米,7.8,143,193
1197625,血战湘江,9.1,1340,7381
248551,白雪公主之神秘爸爸,8.3,65,530
672356,新大头儿子和小头爸爸2一日成才,8.6,29,5404
1203120,巨额来电,8.4,3767,5585
1190355,四渡赤水,,51,2
78230,告诉他们，我随白鹤去了,7.4,1,8
1207927,一辈子的姐弟,,7,25
346189,空天猎,8.7,8662,31906
1132273,青春24秒,春24,6,7
342362,相声大电影之我要幸福,5.9,1426,1791
1205145,丢心,,2,7
1220935,一个人的江湖,,5,7
344422,东方快车谋杀案,8.2,12706,23022
340946,纯洁心灵·逐梦演艺圈,6.8,5,234
345627,天梯：蔡国强的艺术,9.0,暂无,210
1208456,李保国,,31,暂无
1217727,河间圣手,,4,6
1199241,大魔法师孟兜兜,,11,31
1206402,圣诞奇妙公司,8.2,302,493
344264,战狼2,9.7,67,99662
248700,速度与激情8,9.3,135203,267088
1198214,羞羞的铁拳,9.1,82,31082
248933,功夫瑜伽,8.4,27190,174866
248904,西游伏妖篇,7.7,58851,165206
248645,变形金刚5：最后的骑士,7.4,87183,155123
588362,摔跤吧！爸爸,9.8,8685,129912
1170264,芳华,9.1,29432,142299
246012,加勒比海盗5：死无对证,8.9,46880,117990
249898,金刚：骷髅岛,8.3,50106,115891
342068,寻梦环游记,9.6,11869,121236
334590,极限特工：终极回归,8.7,43432,112517
246065,生化危机：终章,8.5,65417,110949
1170255,乘风破浪,8.7,12921,104604
249900,神偷奶爸3,8.8,44415,103780
334620,蜘蛛侠：英雄归来,8.1,46277,77475
248935,大闹天竺,7.4,31173,75611
249894,雷神3：诸神黄昏,8.9,36269,74370
246377,猩球崛起3：终极之战,8.1,40336,74050
247875,金刚狼3：殊死一战,8.6,34160,73008
341375,悟空传,7.6,40179,69653
341195,正义联盟,8.6,34532,69057
248683,银河护卫队2,9.1,34281,68611
249895,新木乃伊,7.0,35970,62560
247731,神奇女侠,8.6,26367,61010
342858,一条狗的使命,8.9,11977,60694
247658,美女与野兽,8.2,31008,59030
1176763,追龙,9.0,9520,57721
1188324,情圣,8.6,17207,65790
345420,英伦对决,8.4,14717,53980
246896,三生三世十里桃花,7.1,42846,53473
342176,杀破狼·贪狼,8.5,27999,52262
1189089,熊出没·奇幻空间,9.1,10119,52112
247185,星球大战外传：侠盗一号,8.0,22439,47719
341173,王牌特工2：黄金圈,8.7,26370,47427
345862,妖猫传,7.4,24327,53026
1198177,缝纫机乐队,9.3,7515,45932
338402,全球风暴,8.7,22610,43403
249008,星际特工：千星之城,8.3,19352,40952
345011,建军大业,9.1,45,20292
343012,嫌疑人x的献身,8.6,16046,40185
346103,拆弹·专家,9.0,18165,40050
342598,敦刻尔克,8.1,19824,33990
346189,空天猎,8.7,8662,31906
341201,太空旅客,8.5,12845,31385
78888,异形：契约,6.8,19952,31116
342381,心理罪,8.2,16310,30416
344183,奇门遁甲,7.6,78,21077
344929,前任3：再见前任,9.2,28359,194188
345672,记忆大师,8.6,15730,29292
655258,机器之血,8.7,19836,30542
1204596,天才枪手,8.8,11398,27132
248916,铁道飞虎,8.5,21708,69929
341189,绣春刀II：修罗战场,8.5,17636,26570
1200984,妖铃铃,6.7,25104,36316
338436,爱乐之城,8.6,15969,24725
1183619,侠盗联盟,8.1,14952,23710
344422,东方快车谋杀案,8.2,12706,23022
344236,京城81号2,5.8,14131,21886
344258,欢乐好声音,9.2,8309,21569
1197732,心理罪之城市之光,8.8,14110,22417
672175,喜欢·你,8.9,10857,21075
246969,攻壳机动队,7.8,14852,20248
342364,逆时营救,7.9,11924,20126
343905,帕丁顿熊2,9.2,10459,20647
246267,长城,8.4,47125,117301
672114,春娇救志明,8.8,9128,17555
158,大话西游之大圣娶亲,8.8,179,17763
78610,蓝精灵：寻找神秘村,9.0,7759,17392
458721,看不见的客人,9.4,3261,17258
615739,二十二,9.2,12468,17053
368135,二代妖精之今生有幸,8.6,16915,29224
78608,刺客信条,7.4,11887,16072
342906,非凡任务,8.7,5869,15636
343945,解忧杂货店,8.5,14360,22316
1183351,哆啦A梦：大雄的南极冰冰凉大冒险,8.6,11514,14890
344055,王牌保镖,8.9,9021,13979
342067,赛车总动员3：极速挑战,8.8,7213,13711
345719,异星觉醒,7.7,9102,13583
346308,十万个冷笑话2,8.7,5549,13388
1197753,大卫贝肯之倒霉特工熊,8.5,4311,12614
1196180,父子雄兵,8.0,87,7802
